issue_id,issue_label,matched_decisions,enforcement_count,monetary_count,median_amount,max_amount,category_mix,top_articles,top_case_types
11,섹터별 개인정보 위험 파동,1456,684,539,600만원,1347.9억원,법규 위반·제재 684건; 침해요인 평가 273건; 기타 257건; 공공시스템·실태점검 106건; 개인정보 제공 요청 105건,제29조(650); 제2조(601); 제75조(539); 제7조(526); 제63조(506); 제8조(485),유출·침해(883); 안전조치 미흡(667); 동의·고지 위반(665); 정보주체 권리보장(491); 민감정보·고유식별정보(287); 목적 외 이용(200)
4,국외이전·클라우드·데이터 주권,1265,774,617,540만원,1347.9억원,법규 위반·제재 774건; 기타 241건; 공공시스템·실태점검 109건; 개인정보 제공 요청 85건; 민원·해석 36건,제29조(690); 제2조(686); 제75조(608); 제63조(578); 제7조(552); 제8조(502),"유출·침해(1,016); 동의·고지 위반(757); 안전조치 미흡(725); 정보주체 권리보장(558); 민감정보·고유식별정보(305); 목적 외 이용(241)"
10,피해구제·분쟁조정·과징금 활용,1165,878,709,500만원,1347.9억원,법규 위반·제재 878건; 공공시스템·실태점검 109건; 기타 95건; 침해요인 평가 52건; 개인정보 제공 요청 24건,제29조(697); 제75조(671); 제2조(665); 제63조(637); 제7조(571); 제6조(505),유출·침해(963); 동의·고지 위반(797); 안전조치 미흡(724); 정보주체 권리보장(546); 민감정보·고유식별정보(293); 보유기간·파기 위반(193)
2,대규모 유출과 과징금 비례성,1158,817,663,500만원,1347.9억원,법규 위반·제재 817건; 기타 181건; 공공시스템·실태점검 111건; 민원·해석 30건; 개인정보 제공 요청 11건,제29조(700); 제2조(689); 제75조(654); 제63조(619); 제7조(559); 제6조(507),"유출·침해(1,121); 동의·고지 위반(778); 안전조치 미흡(737); 정보주체 권리보장(573); 민감정보·고유식별정보(298); 보유기간·파기 위반(186)"
3,안전조치 충분성·인과관계,793,617,515,600만원,1347.9억원,법규 위반·제재 617건; 공공시스템·실태점검 109건; 기타 53건; 개인정보 제공 요청 7건; 민원·해석 5건,제29조(687); 제75조(513); 제2조(511); 제63조(488); 제7조(476); 제6조(453),유출·침해(770); 안전조치 미흡(744); 동의·고지 위반(569); 정보주체 권리보장(464); 민감정보·고유식별정보(236); 보유기간·파기 위반(136)
7,CCTV·영상정보 경계,552,373,325,600만원,1347.9억원,법규 위반·제재 373건; 기타 104건; 민원·해석 31건; 개인정보 제공 요청 19건; 침해요인 평가 16건,제75조(327); 제2조(318); 제63조(311); 제29조(308); 제7조(285); 제6조(248),유출·침해(439); 동의·고지 위반(392); 정보주체 권리보장(385); 안전조치 미흡(329); 영상정보 처리(158); 민감정보·고유식별정보(102)
6,사전 실태점검과 사후 제재,457,128,59,450만원,1347.9억원,법규 위반·제재 128건; 공공시스템·실태점검 111건; 기타 98건; 침해요인 평가 57건; 개인정보 제공 요청 37건,제29조(186); 제30조(183); 제61조(155); 제30조의2(136); 제2조(124); 제3조(100),유출·침해(276); 안전조치 미흡(210); 동의·고지 위반(121); 정보주체 권리보장(100); 영상정보 처리(89); 목적 외 이용(64)
9,처리방침 평가·CPO·책임성,383,237,160,900만원,1347.9억원,법규 위반·제재 237건; 공공시스템·실태점검 107건; 기타 31건; 침해요인 평가 4건; 개인정보 제공 요청 3건,제30조(288); 제29조(276); 제61조(199); 제2조(187); 제6조(157); 제8조(149),유출·침해(352); 안전조치 미흡(299); 동의·고지 위반(205); 정보주체 권리보장(165); 민감정보·고유식별정보(123); 보유기간·파기 위반(62)
8,아동 개인정보·법정대리인 동의,167,39,36,420만원,44.8억원,기타 49건; 침해요인 평가 49건; 법규 위반·제재 39건; 개인정보 제공 요청 18건; 민원·해석 10건,제2조(47); 제18조(41); 제3조(38); 제61조(38); 제15조(35); 제8조(34),동의·고지 위반(81); 유출·침해(72); 정보주체 권리보장(53); 아동 개인정보(46); 목적 외 이용(39); 민감정보·고유식별정보(32)
5,자동화된 결정·AI·설명가능성,117,85,78,900만원,1347.9억원,법규 위반·제재 85건; 기타 28건; 공공시스템·실태점검 4건,제29조(84); 제7조(84); 제2조(81); 제6조(81); 제8조(76); 제63조(73),유출·침해(111); 동의·고지 위반(103); 안전조치 미흡(101); 정보주체 권리보장(90); 민감정보·고유식별정보(71); 보유기간·파기 위반(37)
1,행태정보·맞춤형 광고·플랫폼 통제,52,25,23,630만원,692.4억원,법규 위반·제재 25건; 기타 14건; 개인정보 제공 요청 6건; 공공시스템·실태점검 5건; 민원·해석 2건,제4조(22); 제8조(22); 제2조(21); 제3조(19); 제63조(16); 제7조(15),동의·고지 위반(41); 유출·침해(36); 정보주체 권리보장(29); 안전조치 미흡(17); 민감정보·고유식별정보(17); 보유기간·파기 위반(15)
