decision_id,decision_date,document_category,title,applicant,order_text,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,factors
957,2012-11-12,complaint_or_interpretation,관악구 CCTV 영상정보 제공 관련 법령해석 요청 건,,"개인정보보호법 제18조 제1항의 규정에 따라 개인정보처리자는 개인정보를 목적 외 용도로 이용하거나 제3자에게 제공하여서는 아니 됨. 따라서, 지자체가 설치한 CCTV의 영상정보를 군사작전 및 재난대응 용도로 군부대에서 상시 사용할 수는 없으며 보안대책이 마련되었다고 하더라도 수도방위사령부 벙커에서 관악구청의 CCTV 영상정보를 상시 관제하는 것은 개인정보보호법 위반에 해당함
다만, 개인정보보호법 제58조 제1항 제2호에서 “국가안전보장과 관련된 정보 분석을 목적으로 수집 또는 제공 요청되는 개인정보”에 대해서는 이 법의 일부 내용을 적용하지 아니하도록 예외를 인정하고 있으므로 수방사가 이에 해당되는 사유로 관악구청의 CCTV 영상정보를 요청하는 경우에는 제공이 가능함
이 경우, 개인정보자기결정권 보호를 위해 '국가안전보장과 관련된 정보 분석의 목적’은 '구체적’이고 '명확한’ 경우로 엄격하게 해석되어야 할 것임
따라서 단순히 훈련을 위한 목적으로 CCTV 영상정보를 제공하여서는 안 되며, 구청 내에 설치된 통합방위지원본부에서 군부대 요원 등이 CCTV 영상을 관제하는 것도 개인정보의 목적 외 이용 및 제3자 제공에 해당되므로 상기한 바와 같이 “국가안전보장과 관련된 정보 분석을 목적”으로 하는 예외적 사유에 해당되지 않는 한 허용되지 않음
3. 주문 이유
○ 통합관제센터의 CCTV영상정보를 수도방위사령부에 제공하는 것이 개인정보보호법 제58조 제1항 제2호에 의거 가능한지 여부 등에 대한 법령 해석
- 군사작전 및 재난 대응 용도로 구청에서 설치ㆍ운영 중인 다목적 CCTV를 영상정보를 군부대에서 사용하는 것이 적절한지 여부
- 통합관제센터에서 별도 보안대책이 수립된 수방사 벙커에 영상정보를 항시 송출 및 필요시 관제하게 하는 것이 개인정보보호법 위반 여부
- 위 사항에 대해 “항시 송출”이 부적절하다면, 송출 통제를 위한 송출 요청시 법상 가능한 시점 및 요청방법(유선전화, 이메일, 팩스 등)
- 유사시 대비하여 구청에서 운영 중인 통합방위지원본부 및 재난대책본부(별도 보안대책 수립된 동일공간)내에 통합관제센터에서 영상정보를 송출 및 필요시 관제하게 하여 재난에 효과적으로 대처하고자 할 때 사용가능 여부
- 재난 및 군 훈련시 상기 영상정보를 활용하여 훈련시 사용가능 여부
위와 같이 의결함.",0,,,제18조;제58조,목적 외 이용;제3자 제공;영상정보 처리,수집·이용 목적 명확성;제3자 제공 또는 위탁 구조
1113,2012-12-24,complaint_or_interpretation,교통영상정보 외부기관 연계ㆍ송출의 개인정보보호법 저촉 여부 질의 건,,"서울지방경찰청장이 질의한 '인터넷과 스마트폰으로 제공되는 교통영상정보에 대하여 외부기관으로의 연계ㆍ송출이 개인정보보호법에 저촉되는지 여부’에 대하여 다음과 같이 의결한다.
1. 서울지방경찰청이 교통영상정보를 외부기관에 연계ㆍ송출하면서 개인정보가 포함될 정도로 CCTV를 제어한 경우에는 개인정보보호법 제18조 제1항에 저촉된다. 다만, 동법 제17조 제1항, 제18조 제2항, 제58조에 해당되는 경우에는 예외적으로 외부기관에 연계ㆍ송출할 수 있다.
2. 서울지방경찰청에서는 교통영상정보에 개인정보가 포함되지 않도록 하기 위하여 CCTV 제어를 최소화하고 외부기관에 대한 제공을 제한할 수 있는 지침 마련 등의 관리적 조치 및 개인정보가 포함된 교통영상정보가 외부기관에 연계ㆍ송출되는 것을 자동으로 차단할 수 있는 기술적 조치 등을 마련할 것을 권고한다.",1,개선권고,,제13조;제14조;제17조;제18조;제58조,유출·침해;영상정보 처리,피해 발생 또는 위험 발생;수집·이용 목적 명확성
421,2013-05-27,complaint_or_interpretation,CCTV를 이용한 동의 없는 개인정보 수집처리에 관한 법령해석,,"버스회사가 교통사고 증거수집 및 범죄예방의 목적으로 버스안에 설치한 CCTV는 해당 목적에 맞게 사용하여야 한다. 다만, 법령에서 구체적으로 허용하고 있는 경우는 예외로 한다.
수집된 녹화물을 CCTV설치 목적과 직접 관계없는 운전기사의 징계 또는 근무평정의 증거자료로 사용하는 것은 허용되지 않는다. 다만, 「개인정보보호법」 제18조 제2항의 예외 사유에 해당하는 경우에는 그 범위 내에서 허용될 수 있다.",0,,,제18조;제24조;제25조,동의·고지 위반;목적 외 이용;영상정보 처리,수집·이용 목적 명확성;동의 적법성
371,2013-10-28,complaint_or_interpretation,개인정보보호 관련 법령해석 요청 건,,"특별법 우선의 원칙은 개인정보 보호에 관한 일반법인 「개인정보 보호법」과 다른 법률 간의 관계에서도 적용된다고 할 것이고, 다른 법률의 개인정보 제공과 관련된 규정과 「개인정보 보호법」의 규정이 특별법과 일반법 관계에 있는지 여부는 해당 규정의 입법 취지와 내용 등을 종합적으로 검토한 뒤 구체적ㆍ개별적으로 판단하여야 할 것이다.
다른 법률에서 개인정보를 목적 외로 이용하거나 제3자에게 제공할 수 있도록 규정한 경우 해당 규정은 「개인정보 보호법」 제18조 제2항 제2호의 적용 대상이 된다 할 것이나, 만약 해당 규정의 내용 중 「개인정보 보호법」 제18조 제2항 제2호 외의 다른 항 또는 다른 호의 내용과 충돌되는 경우, 그 규정은 「개인정보 보호법」 제6조의 다른 법률의 특별한 규정에 해당된다 할 것이다.",0,,,제18조;제6조,목적 외 이용;제3자 제공,수집·이용 목적 명확성;제3자 제공 또는 위탁 구조
377,2014-01-13,complaint_or_interpretation,폐업 국제결혼중개업소 이용자 신상정보 보존 관련 질의 건,,"국제결혼중개업자는 폐업을 신고하거나 등록이 취소된 경우 결혼중개계약서, 국제결혼 개인신상정보 확인서 및 관련 증빙서류, 그 밖의 혼인 관련 서류를 지체 없이 파기하여야 한다. 다만, 국제결혼중개업자가 「결혼중개업의 관리에 관한 법률」 제18조에 따른 영업정지 등의 사유에 해당하면서 폐업을 신고한 경우에는 같은 법 제10조의4 제1항에 따라 위 혼인 관련 서류를 보존하여야 한다.",0,,,제10조;제10조의2;제10조의4;제18조;제21조;제5조;제9조,보유기간·파기 위반,정보주체 규모;수집·이용 목적 명확성
1005,2014-05-12,complaint_or_interpretation,「개인정보 보호법」 제6조 및 제18조 관련 해석의 건 (개인정보보호위원회 심의ㆍ의결 통보사항에 대한 안전행정부의 추가질의 관련 법령해석의 건),,"1. 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제24조의2는 「개인정보 보호법」 제18조 제2항, 제4항 및 제5항의 적용을 각 배제하지 않는다.
2. 「신용정보의 이용 및 보호에 관한 법률」 제32조, 「국세기본법」 제81조의13, 「의료법」 제21조, 「가족관계의 등록 등에 관한 법률」 제14조 및 「주민등록법」 제29조는 각 「개인정보 보호법」 제18조 제2항, 제4항 및 제5항의 적용을 각 배제한다.
3. 금융위원회에는 「신용정보의 이용 및 보호에 관한 법률」에, 기획재정부장관에게는 「국세기본법」에, 보건복지부장관에게는 「의료법」에, 법무부장관에게는 「가족관계의 등록 등에 관한 법률」에, 안전행정부장관에게는 「주민등록법」에, 각 「개인정보 보호법」 제18조 제4항 및 제5항에 상응하는 절차에 관한 규정을 보완할 것을 각 권고한다.",1,개선권고,,제10조;제11조;제13조;제14조;제15조;제18조;제1조;제21조;제22조;제23조;제24조의2;제29조;제2조;제32조;제47조;제6조;제81조의13;제82조,동의·고지 위반;목적 외 이용;민감정보·고유식별정보;정보주체 권리보장,고유식별정보 포함 여부;피해 발생 또는 위험 발생;사후 시정 노력;수집·이용 목적 명확성;동의 적법성;제3자 제공 또는 위탁 구조
1001,2014-06-09,complaint_or_interpretation,"건강보험증 송달 관련 민원처리의 건1. 주 문민원인 정OO(울산광역시 북구 거주)이 국민건강보험공단의 건강보험증 송달과 관련하여 제기한 민원에 대하여 다음과 같이 민원인에게 통지한다.“건강보험증은 우편봉투에 봉함되어 송달되고, 「우편법」에 따라 무단개봉, 훼손 등의 경우 처벌되는 등 제도적인 안전성이 마련되어 있으며, 「국세기본법」, 「고용보험 및 산업재해보상보험의 보험료징수에 등에 관한 법률」 등에서도 납세고지서, 보험료 관련 서류 등을 일반우편으로 송달할 수 있도록 허용하고 있을 뿐만 아니라, 투표안내문 등 다른 분야에서도 다수의 개인정보가 포함된 서류가 일반우편으로 송달되고 있는 사실을 감안할 때, 일반우편을 통한 건강보험증 송달이 「개인정보 보호법」을 위반한 것으로는 보기 어렵다고 할 것입니다.”2. 배 경민원인이 2014년 4월 29일 국민신문고를 통해 '국민건강보험공단이 건강보험증을 개인에게 송달함에 있어 등기우편이 아닌 일반우편으로 송달하고 있어 개선이 필요하며, 동 송달행위가 개인정보보호 관련 법령 위반이 아닌지 여부와 국민건강보험공단이 현재의 송달방법을 시정하지 않겠다고 밝혔는데 이에 대한 개인정보보호위원회의 공식적인 입장이 무엇인지’ 문의하는 내용의 민원을 제기하였다.",,,0,,,제12조;제29조;제3조;제48조,유출·침해;동의·고지 위반;정보주체 권리보장,고의 또는 중과실;피해 발생 또는 위험 발생;사후 시정 노력
1143,2014-09-15,complaint_or_interpretation,의무교육대상자 취학독려를 위한 개인정보 이용ㆍ제공 가능여부 질의의 건,경기도 성남교육지원청 교육장,"1. ○○학원은 학원생 관리 목적으로 수집한 의무교육대상자 개인정보를 「개인정보 보호법」 제17조 제1항 제2호를 근거로 하여 경기도 성남교육지원청에 취학 독려 목적으로 제공할 수 없다.
2. 공공기관이 아닌 ○○학원은 「개인정보 보호법」 제18조 제2항 제5호의 적용대상이 아니다.",0,,,제12조;제13조;제15조;제17조;제18조;제25조;제27조,동의·고지 위반,정보주체 규모;수집·이용 목적 명확성;동의 적법성;제3자 제공 또는 위탁 구조
177,2015-02-23,complaint_or_interpretation,서울특별시의 소송비용 회수를 위한 개인정보 이용 관련 질의 건,서울특별시장,서울특별시가 보유 중인 부동산 소유현황정보나 자동차 소유현황정보를 미납 소송비용 회수를 위하여 목적 외 이용하거나 이를 위하여 주민등록번호를 처리하는 것은 「개인정보 보호법」 제18조 및 제24조의2에 위반된다.,0,,,제107조;제12조;제147조;제18조;제21조;제24조의2;제25조;제2조;제61조;제69조;제87조,목적 외 이용;민감정보·고유식별정보;정보주체 권리보장,고유식별정보 포함 여부;수집·이용 목적 명확성
205,2015-04-13,complaint_or_interpretation,포항시 통합관제센터 영상정보의 해병대 제1사단 제공 관련 질의 건,포항시장,"포항시는 경계태세 2급 이상 발령 시, 을지연습 시, 화랑훈련 시 해병대 제1사단의 연락관이 통합관제센터에서 영상정보를 열람하도록 할 수 있다.",0,,,제11조;제14조;제18조;제20조;제58조,영상정보 처리;정보주체 권리보장,수집·이용 목적 명확성;제3자 제공 또는 위탁 구조
